GlobalAyahNo,SurahNameEnglish,SurahNameArabic,SurahAyahRefNumeric,SurahAyahRefArabic,ArabicText,Translation,GlyphV1,GlyphV2,PageNoEnglish,PageNoArabic
1,Surah Al-Fatihah,سورة الفاتحة,1:1,١:١,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ ۝١,"In the name of Allah, Most Gracious, Most Merciful.",ﭑﭒﭓﭔﭕ,ﱁﱂﱃﱄﱅ,1,١
2,Surah Al-Fatihah,سورة الفاتحة,1:2,١:٢,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَـٰلَمِینَ ۝٢,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",ﭖﭗﭘﭙﭚ,ﱆﱇﱈﱉﱊ,1,١
3,Surah Al-Fatihah,سورة الفاتحة,1:3,١:٣,ٱلرَّحۡمَـٰنِ ٱلرَّحِیمِ ۝٣,"Most Gracious, Most Merciful;",ﭛﭜﭝ,ﱋﱌﱍ,1,١
4,Surah Al-Fatihah,سورة الفاتحة,1:4,١:٤,مَـٰلِكِ یَوۡمِ ٱلدِّینِ ۝٤,Master of the Day of Judgment.,ﭞﭟﭠﭡ,ﱎﱏﱐﱑ,1,١
5,Surah Al-Fatihah,سورة الفاتحة,1:5,١:٥,إِیَّاكَ نَعۡبُدُ وَإِیَّاكَ نَسۡتَعِینُ ۝٥,"Thee do we worship, and Thine aid we seek.",ﭢﭣﭤﭥﭦ,ﱒﱓﱔﱕﱖ,1,١
6,Surah Al-Fatihah,سورة الفاتحة,1:6,١:٦,ٱهۡدِنَا ٱلصِّرَ ٰ⁠طَ ٱلۡمُسۡتَقِیمَ ۝٦,"Show us the straight way,",ﭧﭨﭩﭪ,ﱗﱘﱙﱚ,1,١
7,Surah Al-Fatihah,سورة الفاتحة,1:7,١:٧,صِرَ ٰ⁠طَ ٱلَّذِینَ أَنۡعَمۡتَ عَلَیۡهِمۡ غَیۡرِ ٱلۡمَغۡضُوبِ عَلَیۡهِمۡ وَلَا ٱلضَّاۤلِّینَ ۝٧,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",ﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴ,ﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤ,1,١
8,Surah Al-Baqarah,سورة البقرة,2:1,٢:١,الۤمۤ ۝١,A.L.M.,ﭑﭒ,ﱁ,2,٢
9,Surah Al-Baqarah,سورة البقرة,2:2,٢:٢,ذَ ٰ⁠لِكَ ٱلۡكِتَـٰبُ لَا رَیۡبَۛ فِیهِۛ هُدࣰى لِّلۡمُتَّقِینَ ۝٢,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",ﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜ,ﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌ,2,٢
10,Surah Al-Baqarah,سورة البقرة,2:3,٢:٣,ٱلَّذِینَ یُؤۡمِنُونَ بِٱلۡغَیۡبِ وَیُقِیمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَـٰهُمۡ یُنفِقُونَ ۝٣,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",ﭝﭞﭟﭠﭡﭢﭣﭤﭥ,ﱍﱎﱏﱐﱑﱒﱓﱔﱕ,2,٢
11,Surah Al-Baqarah,سورة البقرة,2:4,٢:٤,وَٱلَّذِینَ یُؤۡمِنُونَ بِمَاۤ أُنزِلَ إِلَیۡكَ وَمَاۤ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡـَٔاخِرَةِ هُمۡ یُوقِنُونَ ۝٤,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",ﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲ,ﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢ,2,٢
12,Surah Al-Baqarah,سورة البقرة,2:5,٢:٥,أُو۟لَـٰۤىِٕكَ عَلَىٰ هُدࣰى مِّن رَّبِّهِمۡۖ وَأُو۟لَـٰۤىِٕكَ هُمُ ٱلۡمُفۡلِحُونَ ۝٥,"They are on (true) guidance, from their Lord, and it is these who will prosper.",ﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼ,ﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬ,2,٢
13,Surah Al-Baqarah,سورة البقرة,2:6,٢:٦,إِنَّ ٱلَّذِینَ كَفَرُوا۟ سَوَاۤءٌ عَلَیۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا یُؤۡمِنُونَ ۝٦,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌ,3,٣
14,Surah Al-Baqarah,سورة البقرة,2:7,٢:٧,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰۤ أَبۡصَـٰرِهِمۡ غِشَـٰوَةࣱۖ وَلَهُمۡ عَذَابٌ عَظِیمࣱ ۝٧,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",ﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫ,ﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛ,3,٣
15,Surah Al-Baqarah,سورة البقرة,2:8,٢:٨,وَمِنَ ٱلنَّاسِ مَن یَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡیَوۡمِ ٱلۡـَٔاخِرِ وَمَا هُم بِمُؤۡمِنِینَ ۝٨,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",ﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷ,ﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧ,3,٣
16,Surah Al-Baqarah,سورة البقرة,2:9,٢:٩,یُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِینَ ءَامَنُوا۟ وَمَا یَخۡدَعُونَ إِلَّاۤ أَنفُسَهُمۡ وَمَا یَشۡعُرُونَ ۝٩,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",ﭸﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂ,ﱨﱩﱪﱫﱬﱭﱮﱯﱰﱱﱲ,3,٣
17,Surah Al-Baqarah,سورة البقرة,2:10,٢:١٠,فِی قُلُوبِهِم مَّرَضࣱ فَزَادَهُمُ ٱللَّهُ مَرَضࣰاۖ وَلَهُمۡ عَذَابٌ أَلِیمُۢ بِمَا كَانُوا۟ یَكۡذِبُونَ ۝١٠,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",ﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐ,ﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽﱾﱿﲀ,3,٣
18,Surah Al-Baqarah,سورة البقرة,2:11,٢:١١,وَإِذَا قِیلَ لَهُمۡ لَا تُفۡسِدُوا۟ فِی ٱلۡأَرۡضِ قَالُوۤا۟ إِنَّمَا نَحۡنُ مُصۡلِحُونَ ۝١١,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",ﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛﮜ,ﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋﲌ,3,٣
19,Surah Al-Baqarah,سورة البقرة,2:12,٢:١٢,أَلَاۤ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَـٰكِن لَّا یَشۡعُرُونَ ۝١٢,"Of a surety, they are the ones who make mischief, but they realise (it) not.",ﮝﮞﮟﮠﮡﮢﮣﮤ,ﲍﲎﲏﲐﲑﲒﲓﲔ,3,٣
